season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,215003,2026-02-19,2026-02-20 00:00:00+00:00,feb15_plus,Radford,Gardner-Webb,-18.5,11.168,AWAY,0.762,0.238,0.536,0.248,-0.288,False,persistent,-13.133,13.133,6,24,False,raw edge only / filtered out,raw-edge watchlist only
2026,211709,2026-02-19,2026-02-20 00:00:00+00:00,feb15_plus,St. Francis (PA),Long Island University,9.25,-2.381,HOME,0.742,0.219,0.533,0.211,-0.322,False,persistent,-16.444,16.444,6,23,False,raw edge only / filtered out,raw-edge watchlist only
2026,211735,2026-02-19,2026-02-20 00:00:00+00:00,feb15_plus,North Florida,Austin Peay,11.25,-4.914,HOME,0.709,0.185,0.529,0.287,-0.242,False,persistent,-11.869,11.869,6,19,False,raw edge only / filtered out,raw-edge watchlist only
2026,211720,2026-02-19,2026-02-20 00:00:00+00:00,feb15_plus,The Citadel,Samford,10.5,-5.02,HOME,0.666,0.142,0.521,0.201,-0.32,False,persistent,-16.464,16.464,6,23,False,raw edge only / filtered out,raw-edge watchlist only
2026,211719,2026-02-19,2026-02-20 00:00:00+00:00,feb15_plus,North Carolina A&T,Charleston,4.5,1.103,HOME,0.66,0.136,0.522,0.475,-0.046,False,persistent,-2.273,2.273,5,21,False,raw edge only / filtered out,raw-edge watchlist only
2026,211730,2026-02-19,2026-02-20 03:00:00+00:00,feb15_plus,Sacramento State,Eastern Washington,3.25,2.112,HOME,0.651,0.127,0.52,0.402,-0.118,False,persistent,-5.388,5.388,6,21,False,raw edge only / filtered out,raw-edge watchlist only
2026,211723,2026-02-19,2026-02-20 03:00:00+00:00,feb15_plus,Cal State Fullerton,UC Davis,-1.5,5.344,HOME,0.637,0.113,0.516,0.467,-0.049,False,none,-0.753,0.753,0,0,False,raw edge only / filtered out,raw-edge watchlist only
2026,211717,2026-02-19,2026-02-20 00:00:00+00:00,feb15_plus,Campbell,William & Mary,2.25,1.049,HOME,0.632,0.108,0.507,0.348,-0.159,False,none,-8.079,8.079,0,0,False,raw edge only / filtered out,raw-edge watchlist only
2026,211745,2026-02-19,2026-02-20 02:00:00+00:00,feb15_plus,Idaho State,Montana,1.25,2.811,HOME,0.627,0.104,0.511,0.523,0.013,False,persistent,-0.143,0.143,6,22,False,raw edge only / filtered out,raw-edge watchlist only
2026,211712,2026-02-19,2026-02-19 23:00:00+00:00,feb15_plus,UMass Lowell,New Hampshire,-3.5,6.841,HOME,0.608,0.085,0.512,0.526,0.014,False,persistent,2.988,2.988,5,22,False,raw edge only / filtered out,raw-edge watchlist only
2026,211738,2026-02-19,2026-02-20 01:20:00+00:00,feb15_plus,Little Rock,UT Martin,2.5,0.102,HOME,0.607,0.083,0.502,0.366,-0.136,False,persistent,-6.937,6.937,7,24,False,raw edge only / filtered out,raw-edge watchlist only
2026,211711,2026-02-19,2026-02-19 23:00:00+00:00,feb15_plus,UMBC,Vermont,1.5,1.27,HOME,0.606,0.083,0.503,0.498,-0.005,False,persistent,-0.548,0.548,5,19,False,raw edge only / filtered out,raw-edge watchlist only
2026,214999,2026-02-19,2026-02-20 01:50:00+00:00,feb15_plus,Mississippi Valley State,Prairie View A&M,9.25,-6.18,HOME,0.605,0.081,0.504,0.141,-0.363,False,persistent,-20.3,20.3,5,24,False,raw edge only / filtered out,raw-edge watchlist only
2026,211706,2026-02-19,2026-02-20 00:00:00+00:00,feb15_plus,Wright State,IU Indianapolis,-11.5,8.897,AWAY,0.605,0.081,0.502,0.244,-0.258,False,persistent,-14.537,14.537,5,26,False,raw edge only / filtered out,raw-edge watchlist only
