season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,358923,2026-02-18,2026-02-19 04:00:00+00:00,feb15_plus,San Francisco,Gonzaga,15.5,-3.214,HOME,0.837,0.314,0.577,0.283,-0.294,False,persistent,-15.23,15.23,6,27,False,raw edge only / filtered out,raw-edge watchlist only
2026,211696,2026-02-18,2026-02-19 00:30:00+00:00,feb15_plus,UL Monroe,Troy,17.0,-10.049,HOME,0.756,0.232,0.533,0.088,-0.445,False,persistent,-29.2,29.2,7,25,False,raw edge only / filtered out,raw-edge watchlist only
2026,211698,2026-02-18,2026-02-19 00:00:00+00:00,feb15_plus,North Alabama,Queens University,8.5,-2.384,HOME,0.753,0.229,0.527,0.38,-0.147,False,persistent,-6.207,6.207,7,14,False,raw edge only / filtered out,raw-edge watchlist only
2026,214994,2026-02-18,2026-02-19 00:00:00+00:00,feb15_plus,UConn,Creighton,-15.75,9.284,AWAY,0.739,0.215,0.53,0.393,-0.136,False,persistent,-6.94,6.94,5,25,False,raw edge only / filtered out,raw-edge watchlist only
2026,358919,2026-02-18,2026-02-19 01:00:00+00:00,feb15_plus,Tulsa,Charlotte,-12.5,6.53,AWAY,0.709,0.185,0.526,0.312,-0.214,False,none,-10.722,10.722,0,0,False,raw edge only / filtered out,raw-edge watchlist only
2026,214979,2026-02-18,2026-02-19 02:00:00+00:00,feb15_plus,Georgia Tech,Virginia,13.5,-7.378,HOME,0.667,0.143,0.526,0.195,-0.331,False,none,-19.131,19.131,0,0,False,raw edge only / filtered out,raw-edge watchlist only
2026,359076,2026-02-18,2026-02-19 01:00:00+00:00,feb15_plus,South Carolina State,North Carolina Central,2.75,1.166,HOME,0.664,0.14,0.511,0.446,-0.065,False,persistent,-1.432,1.432,4,22,False,raw edge only / filtered out,raw-edge watchlist only
2026,358920,2026-02-18,2026-02-19 02:00:00+00:00,feb15_plus,Seattle U,Saint Mary's,9.5,-3.111,HOME,0.66,0.136,0.527,0.242,-0.285,False,persistent,-16.483,16.483,5,24,False,raw edge only / filtered out,raw-edge watchlist only
2026,214976,2026-02-18,2026-02-19 00:00:00+00:00,feb15_plus,Wake Forest,Clemson,3.5,0.837,HOME,0.658,0.134,0.514,0.335,-0.179,False,persistent,-9.896,9.896,4,24,False,raw edge only / filtered out,raw-edge watchlist only
2026,211691,2026-02-18,2026-02-18 23:30:00+00:00,feb15_plus,Youngstown State,Cleveland State,-11.25,8.002,AWAY,0.656,0.132,0.507,0.36,-0.147,False,persistent,-7.181,7.181,6,19,False,raw edge only / filtered out,raw-edge watchlist only
2026,211701,2026-02-18,2026-02-19 00:00:00+00:00,feb15_plus,Delaware,Western Kentucky,4.5,0.043,HOME,0.652,0.128,0.515,0.379,-0.136,False,persistent,-6.195,6.195,6,18,False,raw edge only / filtered out,raw-edge watchlist only
2026,214984,2026-02-18,2026-02-19 02:00:00+00:00,feb15_plus,Oklahoma State,Kansas,6.5,-2.409,HOME,0.644,0.12,0.512,0.224,-0.288,False,persistent,-17.035,17.035,5,24,False,raw edge only / filtered out,raw-edge watchlist only
2026,211697,2026-02-18,2026-02-19 00:00:00+00:00,feb15_plus,Coastal Carolina,James Madison,0.25,3.398,HOME,0.639,0.115,0.509,0.491,-0.018,False,none,-0.602,0.602,0,0,False,raw edge only / filtered out,raw-edge watchlist only
2026,214983,2026-02-18,2026-02-19 01:30:00+00:00,feb15_plus,West Virginia,Utah,-10.25,7.285,AWAY,0.638,0.114,0.505,0.458,-0.047,False,persistent,-2.418,2.418,5,6,False,raw edge only / filtered out,raw-edge watchlist only
2026,214996,2026-02-18,2026-02-19 00:00:00+00:00,feb15_plus,Loyola Maryland,Army,-4.75,0.908,AWAY,0.633,0.109,0.51,0.569,0.059,False,persistent,4.257,4.257,6,23,False,raw edge only / filtered out,raw-edge watchlist only
