season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,211689,2026-02-18,2026-02-19 01:00:00+00:00,feb15_plus,Omaha,Oral Roberts,-7.0,8.641,HOME,0.559,0.036,0.5,0.677,0.177,True,persistent,12.769,12.769,6,19,False,disagreement-led persistent,decision-useful internal candidate
2026,358915,2026-02-18,2026-02-19 00:00:00+00:00,feb15_plus,Temple,UAB,-1.25,-1.157,AWAY,0.577,0.053,0.498,0.663,0.165,True,persistent,9.403,9.403,6,24,False,disagreement-led persistent,decision-useful internal candidate
2026,211695,2026-02-18,2026-02-18 23:30:00+00:00,feb15_plus,Furman,East Tennessee State,-1.5,-0.455,AWAY,0.565,0.041,0.495,0.658,0.163,True,persistent,9.219,9.219,6,22,False,disagreement-led persistent,decision-useful internal candidate
2026,214989,2026-02-18,2026-02-19 01:00:00+00:00,feb15_plus,Northwestern,Maryland,-7.5,8.61,HOME,0.544,0.02,0.498,0.643,0.146,True,persistent,9.612,9.612,6,24,False,disagreement-led persistent,decision-useful internal candidate
2026,358924,2026-02-18,2026-02-19 04:00:00+00:00,feb15_plus,UNLV,Colorado State,-2.5,1.393,AWAY,0.543,0.019,0.491,0.62,0.129,True,persistent,6.635,6.635,5,23,False,disagreement-led persistent,decision-useful internal candidate
2026,211680,2026-02-18,2026-02-19 00:00:00+00:00,feb15_plus,Texas A&M,Ole Miss,-9.5,10.927,HOME,0.555,0.031,0.499,0.617,0.117,True,persistent,8.074,8.074,5,18,False,disagreement-led persistent,decision-useful internal candidate
2026,211703,2026-02-18,2026-02-19 00:30:00+00:00,feb15_plus,Louisiana Tech,Jacksonville State,-2.25,0.063,AWAY,0.573,0.05,0.497,0.607,0.11,True,none,6.786,6.786,0,0,False,disagreement-led support,decision-useful internal candidate
2026,211690,2026-02-18,2026-02-19 01:00:00+00:00,feb15_plus,South Dakota State,North Dakota State,1.25,-1.418,AWAY,0.506,-0.018,0.488,0.589,0.101,True,persistent,6.398,6.398,4,21,False,disagreement-led persistent,decision-useful internal candidate
2026,214992,2026-02-18,2026-02-18 23:30:00+00:00,feb15_plus,Georgetown,Butler,-6.5,0.869,AWAY,0.688,0.165,0.523,0.714,0.19,False,persistent,12.649,12.649,6,25,False,raw edge + persistent disagreement support,decision-useful internal candidate
2026,358905,2026-02-18,2026-02-19 00:30:00+00:00,feb15_plus,Drake,Southern Illinois,1.5,4.231,HOME,0.674,0.15,0.523,0.594,0.071,False,persistent,3.904,3.904,7,22,False,raw edge + persistent disagreement support,decision-useful internal candidate
2026,358907,2026-02-18,2026-02-19 02:00:00+00:00,feb15_plus,Illinois State,Murray State,-2.25,6.527,HOME,0.649,0.126,0.519,0.586,0.067,False,persistent,5.249,5.249,6,25,False,raw edge + persistent disagreement support,decision-useful internal candidate
