season,gameId,game_date,startDate,slice,homeTeam,awayTeam,book_spread,predicted_spread,model_pick_side,pick_cover_prob,pick_prob_edge,raw_logit_score,filter_score,score_lift_vs_raw_logit,flagged_mainly_by_disagreement,persistence_label,he_market_edge_for_pick,abs_he_vs_market_edge,pick_team_recent_same_sign_count_21d,pick_team_prior_same_sign_streak,neutral_site_flag,signal_driver,usage_label
2026,358938,2026-02-21,2026-02-21 21:00:00+00:00,feb15_plus,Murray State,Evansville,-14.25,14.635,HOME,0.514,-0.01,0.492,0.778,0.286,True,persistent,20.265,20.265,7,26,False,disagreement-led persistent,decision-useful internal candidate
2026,211825,2026-02-21,2026-02-21 19:00:00+00:00,feb15_plus,Middle Tennessee,Delaware,-10.25,11.98,HOME,0.561,0.037,0.5,0.713,0.212,True,persistent,14.89,14.89,6,22,False,disagreement-led persistent,decision-useful internal candidate
2026,215012,2026-02-21,2026-02-21 19:30:00+00:00,feb15_plus,Texas Tech,Kansas State,-12.25,14.015,HOME,0.57,0.046,0.502,0.693,0.19,True,persistent,13.085,13.085,6,25,False,disagreement-led persistent,decision-useful internal candidate
2026,215049,2026-02-21,2026-02-21 19:00:00+00:00,feb15_plus,Colgate,Loyola Maryland,-8.5,10.266,HOME,0.565,0.041,0.501,0.67,0.169,True,none,12.805,12.805,0,0,False,disagreement-led support,decision-useful internal candidate
2026,358953,2026-02-21,2026-02-22 03:00:00+00:00,feb15_plus,Seattle U,Portland,-7.5,8.002,HOME,0.519,-0.005,0.493,0.67,0.177,True,persistent,11.647,11.647,5,25,False,disagreement-led persistent,decision-useful internal candidate
2026,211803,2026-02-21,2026-02-22 01:30:00+00:00,feb15_plus,Oklahoma,Texas A&M,0.0,-0.005,AWAY,0.5,-0.024,0.482,0.663,0.181,True,persistent,9.854,9.854,6,19,False,disagreement-led persistent,decision-useful internal candidate
2026,211828,2026-02-21,2026-02-21 20:30:00+00:00,feb15_plus,Sam Houston,Jacksonville State,-6.75,9.481,HOME,0.595,0.071,0.508,0.662,0.154,True,persistent,10.943,10.943,5,22,False,disagreement-led persistent,decision-useful internal candidate
2026,211778,2026-02-21,2026-02-22 00:00:00+00:00,feb15_plus,Elon,North Carolina A&T,-7.5,7.825,HOME,0.512,-0.012,0.491,0.646,0.155,True,persistent,10.145,10.145,5,21,False,disagreement-led persistent,decision-useful internal candidate
2026,211830,2026-02-21,2026-02-22 02:00:00+00:00,feb15_plus,New Mexico State,UTEP,-7.25,9.077,HOME,0.548,0.024,0.496,0.642,0.146,True,persistent,9.918,9.918,5,21,False,disagreement-led persistent,decision-useful internal candidate
2026,211809,2026-02-21,2026-02-22 01:38:00+00:00,feb15_plus,Auburn,Kentucky,-3.75,5.663,HOME,0.56,0.037,0.5,0.615,0.114,True,persistent,7.551,7.551,5,25,False,disagreement-led persistent,decision-useful internal candidate
2026,211784,2026-02-21,2026-02-21 19:00:00+00:00,feb15_plus,Mercer,Samford,-3.75,4.951,HOME,0.539,0.015,0.495,0.614,0.119,True,persistent,7.884,7.884,6,21,False,disagreement-led persistent,decision-useful internal candidate
2026,211835,2026-02-21,2026-02-21 22:00:00+00:00,feb15_plus,Portland State,Eastern Washington,-6.25,8.123,HOME,0.582,0.058,0.504,0.608,0.105,True,persistent,7.66,7.66,6,14,False,disagreement-led persistent,decision-useful internal candidate
2026,215051,2026-02-21,2026-02-22 00:00:00+00:00,feb15_plus,Fairleigh Dickinson,New Haven,-2.25,4.678,HOME,0.598,0.074,0.507,0.606,0.099,True,persistent,7.86,7.86,6,17,False,disagreement-led persistent,decision-useful internal candidate
2026,211787,2026-02-21,2026-02-22 03:00:00+00:00,feb15_plus,UC Irvine,UC San Diego,-4.5,2.005,AWAY,0.577,0.053,0.498,0.605,0.106,True,persistent,5.325,5.325,5,24,False,disagreement-led persistent,decision-useful internal candidate
2026,211829,2026-02-21,2026-02-21 22:00:00+00:00,feb15_plus,Kennesaw State,Louisiana Tech,-5.75,8.128,HOME,0.589,0.065,0.506,0.602,0.097,True,none,7.791,7.791,0,0,False,disagreement-led support,decision-useful internal candidate
